,title,startYear,runtimeMinutes,genres,actor_or_actress,director,producer,averageRating,numVotes,adult,backdrop_path,original_language,overview,poster_path,production_countries,release_date,production_companies_name
0,The Devil,1915,,Drama,,"Reginald Barker (1886, 1945), Thomas H. Ince (1880, 1924)",,8.4,21,False,/51GGMpo2wDg6PsAwjg6U0p8ByOb.jpg,en,"The Devil, in the guise of a human, meets a young couple who remark upon looking at a Renaissance painting of a martyr that Evil could never triumph over Good. The Devil, taking this as a challenge, decides to bring about the couple's downfall.",/4dy5FxYB4ezcnT7uDbLs5yhnkVj.jpg,['US'],1915-04-01,[]
1,The Strange Case of Mary Page,1916,,,,"J. Charles Haydon (1876, 1943)",,8.8,13,False,/txR9D09SoIQWDLVjpK0G54XJs9P.jpg,en,A 15-episode movie serial.,/87TdHd3UPAQMimaKnr4kS1q1XQp.jpg,['US'],1916-01-24,['The Essanay Film Manufacturing Company']
2,"Womanhood, the Glory of the Nation",1917,70.0,"Drama,War",,"J. Stuart Blackton (1875, 1941), William P.S. Earle (1882, 1972)",,8.4,21,False,/mUHVrxtl8vsJemLRogNvX3xi49e.jpg,en,"When the nation of Ruthania declares war on the United States, an army of enemy soldiers invades the U.S. and captures New York. But the American forces have prepared adequately for such an event, and hidden booby traps, trick fortifications, and remote-controlled bombs...",/25B9XWZymkgMyeXAyKi3iWzb4TU.jpg,['US'],1917-04-09,['Vitagraph Company of America']
3,Álarcosbál,1917,,,,"Alfréd Deésy (1877, 1961)",,8.7,18,False,,hu,,/1B5co12yoqCuhYgrTZKueWhc60Y.jpg,[],1918-03-11,[]
4,Ruth of the Rockies,1920,300.0,Western,"S.J. Bingham (1880, 1962), Gilbert Holmes (1895, 1936), Harry Maynard (1898, 1976)","George Marshall (1891, 1975)",,8.7,18,False,/d30NtFTnfUusMOex4irY6evp3GG.jpg,en,"A young woman finds a trunk full of stolen diamonds, takes them and heads westward, pursued by the thief.",/eGx2Q59PQJm39zaqizzxOChFlTD.jpg,['US'],1920-08-29,['Ruth Roland Serials']
5,A Boy of Flanders,1924,70.0,"Drama,Family","Ainse Charland (\N, \N)","Victor Schertzinger (1888, 1941)",,8.4,32,False,/nLvDjyMH8GR5mcVfjKHPNu0I8f0.jpg,en,An orphan boy wins a prize for his drawing.,/sHSQN4TvIg2dK9oz0Gu6nNgF1BP.jpg,['US'],1924-04-06,['Jackie Coogan Productions']
6,Les lumières de la ville,1931,87.0,"Comedy,Drama,Romance","Jack Alexander (\N, \N), Victor Alexander (1897, \N), T.S. Alexander (\N, \N)","Charles Chaplin (1889, 1977)",,8.5,206887,False,/n0Cju2Eu3VyrUFl32thblHFWznA.jpg,en,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,['US'],1931-02-01,"['Charles Chaplin Productions', 'United Artists']"
7,It's a Wise Child,1931,83.0,Comedy,,"Robert Z. Leonard (1889, 1968)",,8.5,82,False,/7po2NS0afg87SzrCVRwP3Vw1BQF.jpg,en,"In this comedy, a conservative family becomes alarmed when they begin believing their daughter is pregnant.",/9y82gwK4h0qXpNIMVIglBTQ9hOf.jpg,['US'],1931-04-10,"['Cosmopolitan Productions', 'Metro-Goldwyn-Mayer']"
8,Paprika,1932,93.0,Comedy,"Franciska Gaal (1904, 1973), Claire Glib (\N, \N)","Carl Boese (1887, 1958)","Alberto Giacalone (\N, 1980), Viktor Klein (\N, \N)",8.7,11,False,,de,"When Ilona visits her married friend Otti, she is just delighted to discover that the man she likes is not other than Otti's brother-in-law, Paul. As he is in need of a maid, she disguises herself as such to try to enamour him.",/cTeRmijkx5lc1Ge1EQyeU1Y1UVP.jpg,['DE'],1932-11-04,[]
9,Les temps modernes,1936,87.0,"Comedy,Drama,Romance","Cecil Reynolds (1880, 1947)","Charles Chaplin (1889, 1977)",,8.5,272844,False,/kSlO1pHpwQfPQdgVPr7dJiJNtJ8.jpg,en,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,/smggAeGHRjKy85h6BzF0eTeDrFW.jpg,['US'],1936-02-05,"['Charles Chaplin Productions', 'United Artists']"
10,Straßenmusik,1936,93.0,Comedy,,"Hans Deppe (1897, 1969)",,8.5,10,False,,de,,,['DE'],1936-07-09,[]
11,Das jüngste Gericht,1940,77.0,,"Herta Mayen (1922, 2015), Susi Nicoletti (1918, 2005)","Franz Seitz (1887, 1952)",,8.7,9,False,,de,"The greengrocer Ferdinand Strubel wants his daughter Marianne to marry the son of the brewery owner Baron von Schnackenberg.  Since Strubel is an impossibly cheap bastard, the marriage is to take place on 20 May, which, coincidentally, is the same day the city is having a grand festival for him to celebrate his company's being in business for 100 years.  Marianne, however, has fallen in love with Leopold, a gym teacher; and when he reads an article in the newspaper about the upcoming arrival of Haley's Comet on 19 May, he comes up with an idea how he can prevent the wedding from taking place:  He tells Strubel that the world is going to come to an end when the comet shows up, so that Strubel will see the errors of his way, cancel the arranged wedding and will become a better person for it.  (Sucker!).",,['DE'],1940-02-09,[]
12,Le dictateur,1940,125.0,"Comedy,Drama,War",,"Charles Chaplin (1889, 1977)",,8.4,248729,False,/8AMKZODrCvWe2sCy9Ts7VsLcKd6.jpg,en,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg,['US'],1940-10-15,"['Roy Export Company Establishment', 'United Artists']"
13,Herzensfreud - Herzensleid,1940,98.0,Comedy,"Walter Müller (1911, 1969)","Hubert Marischka (1882, 1959)","Friedrich Wilhelm Gaik (\N, \N)",8.6,10,False,,de,"Herzensfreud-Herzensleid (literally translates to ""Heartfelt Joy - Heartbreak""), the 1940 Hubert Marischka German family relationship romantic comedy starring Magda Schneider, Paul Horbiger (later, he appeared in ""The Third Man""!), Olly Holzmann, Lucie Englisch, and Walter Muller. It appears this movie was never released in the U.S.",,['DE'],1940-12-20,['Algefa Film']
14,Casablanca,1942,102.0,"Drama,Romance,War","Madeleine Lebeau (1923, 2016)","Michael Curtiz (1886, 1962)",,8.5,631066,False,/wOfzdzC0QZyhUIlyjeMuUYSb8Ax.jpg,en,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg,['US'],1942-11-26,['Warner Bros. Pictures']
15,Viel Lärm um Nixi,1942,105.0,Comedy,,"Erich Engel (1891, 1966)",,8.4,14,False,,de,,/rNCHKqWsOH89F42Fdh0DSSHHJVo.jpg,['DE'],1942-02-19,['Klagemann-Film GmbH']
16,La vie est belle,1946,130.0,"Drama,Family,Fantasy",,"Frank Capra (1897, 1991)",,8.6,527521,False,/ch3lDc4xQ9MpsNEpnRhvR8PIxxK.jpg,en,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg,['US'],1946-12-20,['Liberty Films']
17,Cry Murder,1950,63.0,"Crime,Drama,Mystery","William Dwyer (\N, \N), William Gibberson (1919, 1994), Hope Miller (1928, 1992), Eugene Smith (1926, 2012)","Jack Glenn (1904, 1981)",,8.6,21,False,/vf935kX660VzUadb1VLjOQgWAK.jpg,en,"A young actress has retired from films to marry the son of a prominent and rich politician in New York City. The father objects strongly to the marriage. The actress is being blackmailed by a second-rate artist who has stolen some letters from her that could be misconstrued. During the payoff, she is knocked unconscious, and awakens to find herself involved in a murder and the police have her marked as the number-one suspect.",/olW7gHj5N4WzhdeNwpY6g8m4pew.jpg,['US'],1950-01-06,['Edward Leven Productions']
18,Boulevard du crépuscule,1950,110.0,"Drama,Film-Noir",,"Billy Wilder (1906, 2002)",,8.4,248838,False,/p47ihFj4A7EpBjmPHdTj4ipyq1S.jpg,en,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,['US'],1950-08-10,['Paramount']
19,Pathala Bhairavi,1951,192.0,"Action,Adventure,Family","N.T. Rama Rao (1923, 1996), Seeta Rama Anjaneyulu Chilakalapudi (1907, 1963), Malathi K. (\N, \N), Lakshmikantam (\N, \N), Padmanabham (1931, 2010), S.V. Ranga Rao (1918, 1974), Hemalathamma Rao (\N, \N), Kamala Devi T.G. (1930, 2012), Relangi Venkatramaiah (1909, 1975), Balakrishnan (\N, \N)","Kadiri Venkata Reddy (1912, 1972)","Aluri Chakrapani (1908, 1975), B. Nagi Reddy (1912, 2004)",8.5,819,False,,te,"The son of the gardener Thota Raamudu (NTR) falls in love with the princess of Ujjain (Malathi). When he faces resistance from the king, he approaches a Sorcerer (SVR), who actually plans to sacrifice this young, brave lad to the goddess Patala Bhairavi (Girija) to attain the magic statuette, which would grant any wish. Raamudu finds about this plan and sacrifices the sorcerer and obtains Paataala Bhairavi.",/1W4Tox7QXHUtMutfLqJgwX3mxz4.jpg,['IN'],1951-03-15,['Vijaya Vauhini Studios']
20,Nagarik,1977,127.0,Drama,"Ajit Banerjee (\N, \N), Kali Bannerjee (1921, 1993), Satindra Bhattacharya (\N, \N), Umanath Bhattacharya (\N, \N), Parijat Bose (\N, \N), Anil Chatterjee (1929, 1996), Ketaki Dutta (\N, 2003), Anil Ghosh (\N, \N)","Ritwik Ghatak (1925, 1976)",,7.9,246,False,,bn,"Ramu, eldest son a family of migrants, is a fresh graduate searching for a job like many others in post-partition Calcutta.",/eJUkCd6O4raBsjsrjGflmyhSZXx.jpg,['IN'],1952-01-01,[]
21,The Pennywhistle Blues,1951,63.0,"Comedy,Drama,Music","Victor Cwayi (\N, \N), Lucas Khosa (\N, \N), Linda Madikisa (\N, \N), David Mukwanazi (\N, \N), Jonathan Mzamo (\N, \N), Grinsell Nongauza (\N, \N), Harriet Qubeka (\N, \N), Dolly Rathebe (1928, 2004), George Mabuza (\N, \N), Tommy Machaka (\N, \N)","Donald Swanson (\N, \N)","Donald Swanson (\N, \N)",8.7,22,False,,en,"In a black township in South Africa, a stolen treasure chest passes from hand to hand until it is finally returned to its original owner.",/i1lkZh3IQWCBscL1acxLBPsAsUY.jpg,['ZA'],1951-03-05,['Swan Film Productions Ltd.']
22,Postlagernd: 'Turteltaube',1952,80.0,Drama,"Wolfgang Condrus (1941, \N), Wolfgang Jansen (1938, 1988), Horst Niendorf (1926, 1999), Barbara Rütting (1927, 2020), Heinz Schacht (1909, 1987), Ilse Parther (\N, \N), Frietmar Wehner (\N, \N), Emilie Altvater (\N, \N)","Gerhard T. Buchholz (1898, 1970)","Gerhard T. Buchholz (1898, 1970)",8.5,23,False,,de,Refugees from East Germany try to make a living in the west.,/sw9AInE1q0LX9ompG55C8IxfnP9.jpg,['DE'],1952-07-28,[]
23,Sa grande épreuve,1954,92.0,Drama,"Karin Dor (1938, 2017), Ingeborg Morawski (\N, \N)","Rudolf Jugert (1907, 1979)","Fritz Anton (\N, \N)",8.7,30,False,,de,,,['DE'],1954-12-20,['Roxy Film']
24,Fenêtre sur cour,1954,112.0,"Drama,Mystery,Thriller","Georgine Darcy (1933, 2004)","Alfred Hitchcock (1899, 1980)",,8.5,545999,False,/zZvtZZXRnZ4Tdcs0QEWaZZcIWy8.jpg,en,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg,['US'],1954-08-01,"['Alfred J. Hitchcock Productions', 'Paramount']"
25,Les sept samouraïs,1954,207.0,"Action,Drama",,"Akira Kurosawa (1910, 1998)",,8.6,383836,False,/qvZ91FwMq6O47VViAr8vZNQz3WI.jpg,ja,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",/8OKmBV5BUFzmozIC3pPWKHy17kx.jpg,['JP'],1954-04-26,['TOHO']
26,La Petite Negresse,1955,95.0,Drama,,"Hermann Kugelstadt (1912, 2001)","Maria von der Osten-Sacken (1901, 1985)",8.8,12,False,,de,,/2XgKDzOcNUdTLRm0G4iKKwhmrp9.jpg,['DE'],1955-05-14,[]
27,Die Familie Hesselbach im Urlaub,1955,99.0,Comedy,"Sophie Cossaeus (1893, 1965), Sofie Engelke (1927, 2000), Irene Marhold (1932, 2017), Elvira Schalcher (1926, 2018), Sybille Schindler (1942, \N), Wolf Schmidt (1913, 1977), Franz Schneider (1916, 1985), Joost Siedhoff (1926, 2022), Lia Wöhr (1911, 1994)","Wolf Schmidt (1913, 1977)","Lia Wöhr (1911, 1994)",8.4,30,False,,de,"In their second feature film, the famous Hessian radio comedy family Hesselbach goes on a vacation trip.",/xKQ5tGXg7YtZF0wWMjdQwZAsCXD.jpg,['DE'],1955-09-30,"['Union-Film GmbH', 'Wolf Schmidt Film', 'Sascha-Film']"
28,Die spanische Fliege,1955,94.0,Comedy,"Helmut Ahner (1928, 2014)","Carl Boese (1887, 1958)","Heinrich Klemme (1920, 1992)",8.5,13,False,,de,,,['DE'],1955-03-01,"['Victor von Struve Filmproduktion GmbH', 'Deutsche Spielfilmgesellschaft']"
29,Douze hommes en colère,1957,96.0,"Crime,Drama","Martin Balsam (1919, 1996)","Sidney Lumet (1924, 2011)","Henry Fonda (1905, 1982), Reginald Rose (1920, 2002)",9.0,924651,False,/tj6iPnz18hGfr0LKqWmG6Cp3niO.jpg,en,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,['US'],1957-04-10,"['United Artists', 'Orion-Nova Productions']"
30,Do Ankhen Barah Haath,1957,143.0,"Comedy,Crime,Drama","Chandarkar (\N, \N), Gajendra (\N, \N), G. Ingawale (\N, \N), Sandhya (\N, \N), Paul Sharma (\N, \N), S.K. Singh (\N, \N), Tyagraj (\N, \N)","Shantaram Rajaram Vankudre (1901, 1990)","Shantaram Rajaram Vankudre (1901, 1990)",8.4,1946,False,/3TjcYnhzxSkL8qWo1taVAxtKppB.jpg,hi,"Progressive, reform-minded young warden gets permission to take six surly murderers from prison to dilapidated country farm, to rehabilitate it and themselves through hard work and kindly guidance.",/sNCB2fCGirspVTPPe0EEpK89ZrH.jpg,['IN'],1957-01-04,['Rajkamal Kala Mandir']
31,Wakare no chatsumi-uta shimai-hen: Oneesan to yonda hito,1957,67.0,,"Tadao Nakamaru (1933, 2009), Chikage Ôgi (1933, 2023), Sôji Ubukata (\N, \N)","Ishirô Honda (1911, 1993)",,8.8,8,False,,ja,An Ishiro Honda film.,/jPVGn9dsoL5IfbhsSTneO6MmPKi.jpg,['JP'],1957-08-25,['TOHO']
32,Paths of Glory,1957,88.0,"Drama,War",,"Stanley Kubrick (1928, 1999)",,8.4,225942,False,/3G9YiVm0bQB1XyyyiDzfeNCiFLw.jpg,en,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,/l2IY0gOHHmCWM90LjteFssxIV1G.jpg,['US'],1957-10-25,"['United Artists', 'Bryna Productions']"
33,Témoins à charge,1957,116.0,"Crime,Drama,Mystery",,"Billy Wilder (1906, 2002)",,8.4,149887,False,/evUB9YKE5IPPtQOchcEF6hS90BO.jpg,en,"When Leonard Vole is arrested for the sensational murder of a rich, middle-aged widow, the famous Sir Wilfrid Robarts agrees to appear on his behalf. Sir Wilfrid, recovering from a near-fatal heart attack, is supposed to be on a diet of bland, civil suits—but the lure of the criminal courts is too much for him, especially when the case is so difficult.",/mM5Cad2ESBprh6ucPnMzMfI34Cu.jpg,['US'],1957-12-17,"['Edward Small Productions', 'United Artists']"
34,Meine 99 Bräute,1958,86.0,Romance,"Claus Wilcke (1939, \N)","Alfred Vohrer (1914, 1986)",,9.2,23,False,,de,,,['DE'],1958-12-04,['Inter West Film']
35,Apur Sansar,1959,105.0,Drama,"Shanti Bhattacherjee (\N, \N), Alok Chakravarty (\N, \N), Abhijit Chatterjee (\N, \N), Soumitra Chatterjee (1935, 2020), Swapan Mukherjee (\N, \N), Sharmila Tagore (1944, \N), Gupi Banerjee (\N, \N), Jiten Bhons (\N, \N), Tushar Bandyopadhyay (\N, \N)","Satyajit Ray (1921, 1992)",,8.4,17633,False,/d3RW7jRsBCHfC9QZaUF9FpzJrh8.jpg,bn,Apu is a jobless ex-student dreaming vaguely of a future as a writer. An old college friend talks him into a visit up-country to a village wedding...,/6Tz1Q69o2n3Zwb0ZffzPL0nFt2T.jpg,['IN'],1959-05-01,['Satyajit Ray Productions']
36,Ningen no jôken,1959,208.0,"Drama,History,War",,"Masaki Kobayashi (1916, 1996)","Shigeru Wakatsuki (\N, \N)",8.5,10177,False,/d9IXxTrra12erdjVXoWUhuTVzTH.jpg,ja,"After handing in a report on the treatment of Chinese colonial labor, Kaji is offered the post of labor chief at a large mining operation in Manchuria, which also grants him exemption from military service. He accepts, and moves to Manchuria with his newly-wed wife Michiko, but when he tries to put his ideas of more humane treatment into practice, he finds himself at odds with scheming officials, cruel foremen, and the military police.",/q7godavx5XEbeVxEeqi4pmiOKdI.jpg,['JP'],1959-01-15,"['Ninjin Club', 'Shochiku']"
37,Ningen no jôken,1959,181.0,"Drama,History,War","Kokinji Katsura (1926, 2014), Kei Satô (1928, 2010), Kunie Tanaka (1932, 2021), Ryôhei Uchida (1931, 1984)","Masaki Kobayashi (1916, 1996)","Masaki Kobayashi (1916, 1996)",8.5,8153,False,/1Blwl8SUIqHC9jqM0p0WORoFmqs.jpg,ja,"Kaji is sent to the Japanese army labeled Red and is mistreated by the vets. Along his assignment, Kaji witnesses cruelties in the army and revolts against the abusive treatment against the recruit Obara. He also sees his friend Shinjô Ittôhei defecting to the Russian border, and he ends in the front to fight a lost battle against the Russian tanks division.",/7jfv1C4t06VGenQxf3HbmLVmUHZ.jpg,['JP'],1959-11-20,['Shochiku']
38,Spavaldi e innamorati,1959,,,"Betty Rowland (1916, 2022)","Giuseppe Vari (1916, 1993)",,8.7,14,False,,it,This is an Italian movie starring Terence Hill,/zbJlbhQDId2KcniG9uTlkJv6ldp.jpg,['IT'],1959-06-27,['Universo Cinematografica']
39,La nuit,1961,122.0,Drama,"Vincenzo Corbella (\N, \N), Ugo Fortunati (\N, \N), Maria Pia Luzi (1941, \N), Guido A. Marsan (1947, 2014)","Michelangelo Antonioni (1912, 2007)",,7.9,25346,False,/p7xReCSm4lSmStrQdHWVuLEdL2Q.jpg,it,A day in the life of an unfaithful married couple and their steadily deteriorating relationship in Milan.,/32Z0Vsrt9LGAiBBwTKR8L9B3ICa.jpg,"['IT', 'FR']",1961-01-24,"['Nepi Film', 'Silver Films', 'Sofitedip']"
40,La rumeur,1961,108.0,"Drama,Romance","Veronica Cartwright (1949, \N), Karen Balkin (1949, \N), Debbie Moldow (\N, \N)","William Wyler (1902, 1981)",,7.8,19461,False,/djniIXcoida7VulOLfF8Lq9RGBm.jpg,en,A private school for young girls is scandalized when one spiteful student accuses the two young women who run the school of being in a relationship.,/goyEWixvULM2IRN4KsKibyrJE4J.jpg,['US'],1961-12-19,"['The Mirisch Company', 'United Artists']"
41,Los hermanos Del Hierro,1961,95.0,"Adventure,Drama,Western",,"Ismael Rodríguez (1917, 2004)",,7.8,392,False,/8RFwWU9vjMf9VobuXbvh7eBnmsC.jpg,es,"Northern Mexico, early 20th century. Reynaldo del Hierro is murdered while riding with his sons Reynaldo and Martín, whose mother instills in them the need for revenge.",/lHQh54v5jLTvaBbqhVWZxYCtV59.jpg,['MX'],1961-10-05,['Filmex']
42,L'arnaqueur,1961,134.0,"Drama,Sport","Jake LaMotta (1922, 2017), Clifford A. Pellow (1928, 2019)","Robert Rossen (1908, 1966)",,7.9,88983,False,/1aspiiXDHVizaCYTNaWwRQSmXCh.jpg,en,Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.,/snItsSViawjaadW9mlWUmGwR41R.jpg,['US'],1961-09-25,"['Rossen Films', '20th Century Fox']"
43,Jugement à Nuremberg,1961,179.0,"Drama,War",,"Stanley Kramer (1913, 2001)",,8.3,91570,False,/37lz7mPo3AWV2BiaF7TA6ZWqL5u.jpg,en,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",/cqumfgd74ftVzOKJpFGOG64WlXL.jpg,['US'],1961-12-18,"['United Artists', 'Roxlom Films']"
44,Kabuliwala,1961,134.0,Drama,"Farida Dadi (\N, \N), Laxmi (\N, \N), Padma (\N, \N), Baby Sonu (\N, \N), Leela Agha (\N, \N)","Hemen Gupta (1912, 1967)",,8.0,378,False,,hi,"A poor Afghani leaves his family behind to earn a living as a dried fruit vendor in India. Profoundly homesick, he befriends a young girl who reminds him of his own daughter. Meanwhile, the locals are distrustful of all foreigners.",,['IN'],1961-12-13,['Bimal Roy Productions']
45,Na mo naku mazushiku utsukushiku,1961,130.0,Drama,"Jun Kondô (\N, \N)","Zenzô Matsuyama (1925, 2016)","Kenichirô Tsunoda (\N, \N)",7.9,216,False,/a5GNZIE5jJ93oTD20rxLQx6ezrP.jpg,ja,"The story is of two people. One is deaf, the other deaf and mute. They marry after meeting at a school reunion, and the film follows their trials and tribulations ... and joys.",/wMPWsxLjOC48yr2rmrcYfokP1LW.jpg,['JP'],1961-01-15,"['Tokyo Eiga Co., Ltd.']"
46,Ningen no jôken,1961,190.0,"Drama,History,War","Kôji Kiyomura (1925, 1966)","Masaki Kobayashi (1916, 1996)",,8.8,7955,False,/h9jZQJ97PM9bumabvl81N6jJvvz.jpg,ja,"After the Japanese defeat to the Russians, Kaji leads the last remaining men through Manchuria. Intent on returning to his dear wife and his old life, Kaji faces great odds in a variety of different harrowing circumstances as he and his fellow men sneak behind enemy lines.",/wZG5gTZj6YKOcm653v6BHK8FWXs.jpg,['JP'],1961-01-28,"['Ninjin Club', 'Shochiku']"
47,"Un, deux, trois",1961,104.0,Comedy,"Pamela Tiffin (1942, 2020)","Billy Wilder (1906, 2002)",,7.8,23841,False,/vo3cB6xkMswMz9gB2X517TmxmI2.jpg,en,"C.R. MacNamara will do anything to get a promotion within the Coca-Cola company, including looking after boss W.P. Hazeltine's rebellious teenage daughter, Scarlett. When Scarlett visits Berlin, where C.R. is stationed, she reveals that she is married to a communist named Otto Piffl -- and C.R. recognizes that Otto's anti-establishment stance will clash with his boss's own political views, possibly jeopardizing his promotion.",/yWQE227ub1frfnjP5HZy0wLF0wu.jpg,['US'],1961-12-15,"['The Mirisch Company', 'United Artists']"
48,Plácido,1961,85.0,"Comedy,Drama","Cassen (1928, 1991), Roberto Llamas (\N, \N)","Luis García Berlanga (1921, 2010)","Alfredo Matas (1920, 1996)",7.8,3978,False,/oZNevLcjER0NVhaAxfzLpWijti6.jpg,es,"In a small Spanish town, during the Christmas holidays, a group of rich old ladies organize a peculiar event that consists of inviting a homeless person to sit down to dinner at their wealthy table. Plácido, a humble worker, is hired by the organizers to participate in a parade with his three-wheeled vehicle, a seemingly simple mission that will not be easy for him to accomplish.",/nbJh87YiPdxUgvZfNDpEbE0bCc9.jpg,['ES'],1962-06-27,['Jet Films']
49,L'emploi,1961,93.0,Drama,"Loredana Detto (1946, \N), Tullio Kezich (1928, 2009), Sandro Panseri (1945, 2023), Mara Revel (\N, \N), Guido Spadea (1921, \N), Bice Melegari (\N, \N), Corrado Aprile (\N, \N), Guido Chiti (\N, \N)","Ermanno Olmi (1931, 2018)",,7.9,7224,False,/dwXW7OBbkXjsVdavPHqoPf1eFo6.jpg,it,"With his family mired in financial troubles, Domenico moves to Milan, Italy, from his small town to get a job in lieu of furthering his education. A lack of options forces him to take a position as a messenger at a big company, where he hopes to receive a promotion soon. There, Domenico meets Antonietta, a young woman in a similar situation as himself. The two form a tentative relationship, but the soulless nature of their jobs threatens to keep them apart.",/wyUxfQCtcPxRzwJtFy0emtfkux8.jpg,['IT'],1961-09-21,"['24 Horses', 'Titanus']"
50,A Raisin in the Sun,1961,128.0,Drama,"Louis Gossett Jr. (1936, 2024), Diana Sands (1934, 1973), Louis Terrel (\N, \N)","Daniel Petrie (1920, 2004)","Philip Rose (1921, 2011)",8.0,10192,False,/akixkRvSOQSCZzHBs0j1y0gS4AM.jpg,en,"Walter Lee Younger is a young man struggling with his station in life. Sharing a tiny apartment with his wife, son, sister and mother, he seems like an imprisoned man. Until, that is, the family gets an unexpected financial windfall.",/fxGAJFfryAgdi4ONkVyrBWKDBbI.jpg,['US'],1961-05-28,['Columbia Pictures']
51,Saptapadi,1961,163.0,"Drama,Romance","Swagata Chakraborty (\N, \N), Kalyan Bose (\N, \N), Amar Biswas (\N, \N)","Ajoy Kar (1914, 1985)",,8.3,516,False,,bn,"During WWII an army doctor is brought a drunken Anglo-Indian woman, whom he'd once loved, for treatment.",/4RMIVEfiahDOAGYyvhdPdLuQ2S8.jpg,['IN'],1961-10-20,[]
52,Sreca u torbi,1961,90.0,Comedy,"Dusan 'Krcun' Djordjevic (1921, 1971), Djokica Milakovic (1925, 2001), Milutin 'Mica' Tatic (1923, 1991)","Radivoje 'Lola' Djukic (1923, 1995)",,7.9,112,False,,sh,"The boss of service station, Raka, prevents thieves of stealing money after attempted robbery. But Raka doesn't know what to do with all the millions in his possession, but can't go told to police afraid that they may accuse him of complicity. He somehow manages to get rid of the money and marry Mara, the motel's maid who didn't want to hear about him while he was full of cash.",,['YU'],1961-11-04,['Avala Film']
53,Comme dans un miroir,1961,90.0,Drama,"Lars Passgård (1941, 2003)","Ingmar Bergman (1918, 2007)",,7.9,28438,False,/ziTptDmkMLIC50LB0to2OU3hwOy.jpg,sv,"Karin hopes to recover from her recent stay at a mental hospital by spending the summer at her family's cottage on a tiny island. Her husband, Martin, cares for her but is frustrated by her physical withdrawal. Her younger brother, Minus, is confused by Karin's vulnerability and his own budding sexuality. Their father, David, cannot overcome his haughty remoteness. Beset by visions, Karin descends further into madness.",/rYD30Fm4vAcBqk1kTsxHw1s8P29.jpg,['SE'],1961-06-06,['SF Studios']
54,Trois filles,1961,114.0,"Comedy,Drama,Fantasy","Aparna Sen (1945, \N), Chandana Banerjee (\N, \N), Khagen Pathak (\N, \N), Haridhan Nag (\N, \N), Gopal Sen (\N, \N), Narayan Ghosh (\N, \N), Krishnakamal Bhattacharya (\N, \N)","Satyajit Ray (1921, 1992)",,7.9,1762,False,/boruYxEhvmRYWOxMvU8BKArv4M6.jpg,bn,"'Teen Kanya' is an anthology film based upon short stories by Rabindranath Tagore, as a tribute on the author's centenary. The title means ""Three Daughters"", and the film's original Indian release contained three stories, with three central female characters linking the stories together. 'The Postmaster' concerns an orphan girl who grows attached to the postmaster she is caring for after he teaches her to read and write. 'Monihara' is a supernatural tale about a woman obsessed with the jewels her husband buys for her. 'Samapti' follows a young man who falls for an unconventional girl from his new village instead of his arranged bride, the daughter of a respectable family. The international release did not include 'Monihara', and was released as 'Dui Kanya', or ""Two Daughters"".",/kPbM20j0rSyJZuQx5UunIMwwnWi.jpg,['IN'],1961-05-05,['Satyajit Ray Productions']
