,title,startYear,runtimeMinutes,genres,actor_or_actress,director,producer,averageRating,numVotes,adult,backdrop_path,original_language,overview,poster_path,production_countries,release_date,production_companies_name
2659,Buddies,2022,140.0,Drama,"Girish Hegde (\N, \N), Uday Surya (\N, \N), Rohan Sai (\N, \N)","Gurutej Shetty (\N, \N)","Bharti Shetty (\N, \N)",9.4,537,False,,id,,,[],,[]
2660,Spring Awakening: Those You've Known,2022,83.0,"Documentary,Musical",,"Michael John Warren (\N, \N)",,7.9,771,False,/dylgCkW7E5Ylpyfk5MGH3iHkjDR.jpg,en,"Fifteen years after the smash, Tony-winning Broadway run of ""Spring Awakening,"" the original cast and creative team reunite for a spectacular, one-night only reunion concert to benefit The Actors Fund. Chronicling their whirlwind journey back to the stage, this documentary follows the players as they reconnect and rediscover the beauty and timelessness of the hit musical.",/fkPM2qx2zB1yZpvQJ59riWfvDPp.jpg,['US'],2022-05-03,"['RadicalMedia', 'HBO Documentary Films']"
2661,Adaminte Makan Abu,2011,101.0,Drama,,"Salim Ahmed (\N, \N)",,7.8,1255,False,,ml,"Abu, a poor perfume seller, lives with his wife. The couple strives hard to make an honest attempt to go for the Hajj pilgrimage.",/cZSui3RYsmwxApsQiQ66ym7zSOb.jpg,['IN'],2011-06-24,[]
2662,O Gringo,2011,87.0,"Documentary,Sport",,"Darko Bajic (1955, \N)","Boban Petkovic (\N, \N)",7.9,259,False,/xxldOIoS8eZcSyi8H9R4PDroxNc.jpg,pt,"A documentary film about football career of Dejan Rambo Petković, who was a star of Brasileirão - Brasilian football league.",/j4AL1rC4GtXjjVbgBeJYDD7J8OU.jpg,['RS'],2011-05-05,['Magična linija']
2663,Le Mans '66,2019,152.0,"Action,Biography,Drama",,"James Mangold (1963, \N)",,8.1,522629,False,/2vq5GTJOahE03mNYZGxIynlHcWr.jpg,en,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",/dR1Ju50iudrOh3YgfwkAU1g2HZe.jpg,['US'],2019-11-13,"['20th Century Fox', 'TSG Entertainment', 'Chernin Entertainment', 'Turnpike Films']"
2664,Bom,2011,117.0,"Documentary,History",,"Amlan Datta (1971, \N)","Anirban Datta (\N, \N)",8.2,103,False,,en,"Malana, a remote village in the Himalayas, isolated from outside civilization for thousands of years has been fostering a primitive existence in harmony with nature and a unique model of democracy of consensus. They have also been producing some of the best quality hashish in the world. A real life story of transition, this ancient civilization being invaded and obliterated by the modern democracy. Narrated in an epic structure, a visual essay from the edge of the world with a message of trust, peace and eternal unity.",,"['NL', 'IN', 'JP', 'US']",2012-11-09,['NHK']
2665,Türk Pasaportu,2011,91.0,"Documentary,Drama,History","Eylem Demir (\N, \N), McKinley Anthony (1984, \N)","Meta Akkus (\N, \N), Burak Arliel (1976, \N)","Cemal Noyan (1947, \N), Bahadir Arliel (\N, \N), Gunes Celikcan (\N, \N)",7.9,475,False,,fr,"The Turkish Passport tells the story of diplomats posted to Turkish embassies and consulates in several European countries, who saved numerous Jews during the Second World War. Whether they pulled them out of camps or took them off trains that were taking them to concentration camps, the diplomats, in the end, ensured that the Jews, who were Turkish citizens, could return to Turkey and thus be saved. Based on the testimonies of witnesses, who traveled to Istanbul to find safety, the Turkish Passport also uses written historical documents and archive footage to tell this story of rescue and bring to light the events of the time.",/fZUQeNfx7LrcTOxLmewMlqDgNEi.jpg,"['FR', 'TR']",2011-10-21,['Interfilm Istanbul']
2666,Gangs of Wasseypur,2012,321.0,"Action,Comedy,Crime",,"Anurag Kashyap (1972, \N)",,8.2,107533,False,/zPsubje2FyqfIm6Ox9kSNqFYV61.jpg,hi,"Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.",/yd7ltAY4j2tRrLAFpVVqh9EhahC.jpg,['IN'],2012-06-22,"['Anurag Kashyap Films', 'Jar Pictures']"
2667,The Money Masters,1996,210.0,Documentary,,"William T. Still (\N, \N)","Patrick S.J. Carmack (\N, \N)",8.6,808,False,,en,A documentary that traces the origins of the political power structure that rules our nation and the world today. The modern political power structure has its roots in the hidden manipulation and accumulation of gold and other forms of money.,/8xawdrZ6Uyb1yGjXMSWGmh72NOm.jpg,['US'],1996-01-01,['Still Productions']
2668,La famille de Nicky,2011,96.0,"Documentary,History",,"Matej Minac (1961, \N)",,8.1,642,False,,cs,"Nicky's Family is a gripping documentary from the International Emmy Award winning producers Patrik Pass and Matej Minac about a rescue operation of the “British Schindler” - Sir Nicholas  Winton who will celebrate this year 103rd birthday. His story has no parallel in modern history. Dramatic reenactments, some of the archive footage never seen before, rescued ""children"" together with Mr. Winton himself recount this unique story which even after 70 years continues to inspire people, especially children, to make this world a better place.  World personalities His Holiness Dalai Lama and Nobel Prize winner Elie Wiesel also took part. ( - from the film's press kit)",/5mm7JA5vL1mPqlCESNq4U6jyTdV.jpg,"['CZ', 'SK']",2011-02-03,[]
